id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed,alpha_ffx,gamma_ffx,beta_ffx,alpha_transformed_ffx,gamma_transformed_ffx,beta_transformed_ffx
202200,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-893.7485083,-887.9010286,-890.9010286,-896.121987,0.014487605,0.893011313,1.632891712,3.274328746,0.70951121,0.836565389,26.42548131,0.893690942,1.259913783,3.243054777,0.709651265,0.779011265,25.61184084
202278,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-812.3123808,-803.9799063,-806.9799063,-812.2008647,0.034424635,-1.839765769,-1.451531073,2.472369556,0.137078998,0.189766045,11.85049401,-1.894115858,-1.099951831,2.40550129,0.130775895,0.24974892,11.08398518
202735,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-850.6039979,-843.8516984,-846.8516984,-852.0726568,0.021142596,2.610006359,-1.432053675,3.263176927,0.931502801,0.1927789,26.13242623,1.408166099,-0.844885334,3.133491212,0.803476528,0.300506875,22.95397702
204015,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-864.3045473,-856.9788244,-859.9788244,-865.1997828,0.020236427,-1.021200395,-1.148076328,2.986613284,0.264793645,0.240840625,19.81844925,-1.224953698,-0.690850235,2.850755977,0.227065867,0.333843961,17.30085595
207224,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-911.5386031,-905.440205,-908.440205,-913.6611634,0.008136018,-1.735366018,-0.201731834,2.973483447,0.149902494,0.449737382,19.55993707,-1.783742835,0.05873953,2.883661747,0.143841586,0.514680662,17.87962412
208572,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-848.0882427,-839.9577128,-842.9577128,-848.1786712,0.019338524,-3.013013533,-1.678762111,2.141577384,0.046841417,0.157259456,8.512855089,-2.89199325,-0.267634456,2.009109311,0.052550788,0.433487925,7.456672809
210100,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-927.268064,-922.4233089,-925.4233089,-930.6442673,0.003808809,-1.06575819,1.209088362,3.302265437,0.256210596,0.770137605,27.17413052,-1.010301441,0.840011771,3.281298918,0.266920863,0.698467695,26.61031489
210290,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-837.1094587,-831.4203704,-834.4203704,-839.6413288,0.029525078,1.964831092,1.976129885,2.845622192,0.877054836,0.878268,17.21226468,1.654335041,1.510814761,2.818275074,0.839476083,0.819181922,16.74793679
210374,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-883.9960697,-878.1200686,-881.1200686,-886.341027,0.017547766,1.019569513,1.881764177,3.304917119,0.734888737,0.867813631,27.24628329,0.928084499,1.397850475,3.276649052,0.71668651,0.801842569,26.4868677
210701,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-716.7142344,-709.0845209,-712.0845209,-717.3054792,0.098048504,-0.708656524,2.441725642,2.083923511,0.329895768,0.919954253,8.035936225,-0.618575161,1.527366351,2.129492543,0.350105578,0.821620652,8.410597709
211038,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-933.2999552,-929.3055787,-932.3055787,-937.5265371,0.001837298,2.421381257,2.337255983,4.262007676,0.918443267,0.911915919,70.95228978,1.339036369,1.239058025,4.097031081,0.792331427,0.775400007,60.16140786
211101,explore,decay_factorize_selective_psequate_fixedparams_fmri,1,h_sceptic_fixed_decay_fmri,g_sceptic,-403.6682575,-398.4369679,-401.4369679,-405.6182055,0.045195802,1.06518316,1.626016627,2.685915899,0.743679807,0.835623225,14.67163296,0.941286312,1.175841924,2.672505945,0.719359413,0.764199347,14.47620034
