dataset,model,id,run,trial,rewFunc,emotion,rt_csv,score_csv,magnitude,probability,ev,rt_next,score_next,y_chosen,v_chosen,rt_vmax,v_max,v_auc,v_sd,v_entropy,v_entropy_func,pe_max,pe_chosen,d_auc,rt_vba,score_vba,mean_kld,intrinsic_discrepancy,kld_newlearn,kld_forget,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,run_trial,v_entropy_no5,v_entropy_sqrt,rew_om,rt_vmax_lag,rt_vmax_change,rt_vmax_change_dir,v_entropy_lag,v_entropy_change,v_entropy_change_pos,v_entropy_change_neg,rt_swing,rt_swing_sqrt,trial_set,trial_neg_inv,trial_neg_inv_sc,rt_csv_sc,rt_vmax_sc,outcome,rew_om_c,v_entropy_wi,entropy_split,v_max_wi,rt_swing_lr,clock_onset_prev,rt_next_sc,rt_lag,rt_lag2,rt_lag3,rt_lag4,rt_lag5,rt_lag_sc,rt_lag2_sc,rt_lag3_sc,reward,last_outcome,outcome_lag,outcome_lag2,reward_lag,iti_prev,omission_lag,omission_lag2,omission_lag3,omission_lag4,omission_lag5,rt_vmax_lag_sc,rt_vmax_next,rt_vmax_change_next,v_entropy_wi_lead,v_entropy_wi_change,v_entropy_wi_change_lag,v_entropy_wi_change_lag2,v_entropy_lead,v_entropy_change_lag,v_entropy_wi_change_pos,v_entropy_wi_change_neg,entropy_split_lag,rt_change,rt_above_1s,swing_above_median,next_swing_above_median,pe_max_lag,pe_max_lag2,pe_max_lag3,abs_pe,abs_pe_c,abspexrew,abs_pe_lag,abs_pe_f,feedback_onset_prev,v_max_above_median,rt_bin,first10,rt_vmax_cum,rt_vmax_cum_lag,total_earnings,kld4,kld3,kld3_lag,kld4_lag,kld3_cum2,kld4_cum2,log_kld3,log_kld3_cum2,rt_time
explore,decay_factorize_selective_psequate_fixedparams_fmri,35780,1,1,DEV,clock_face,0.401,70,70,0.790192451406812,55.344874926868,0.518,0,4,0,,,,,,,73.4633694222455,72.5302272768931,,4.01,70,,,,,8.05832666362403,8.47489799442701,8.52491407527123,9.42492355924333,0.1,clock_face_1.png,1,,,1,,,,,,,,,,1,-1,-5.2324462631467,-1.11225550593301,,Reward,0.5,,,,,,-1.02119491979388,,,,,,,,,reward,,,,,,,,,,,,0.3,,-1.31397582282115,,,,0.747642456468649,,,,,,FALSE,,TRUE,,,,73.4633694222455,36.3640760115706,18.1820380057853,,high abs. PE,,,0-1s,TRUE,,,9425,,,,,,,,,8.45932666362403
explore,decay_factorize_selective_psequate_fixedparams_fmri,35780,1,2,DEV,clock_face,0.518,71,71,0.759970964637226,53.9956744543579,0.268,70,5,34.4989888619457,0.3,38.0045862166449,262.260022847039,11.6504243454798,0.747642456468649,0.333472104907783,48.4390908845117,48.4390908845117,-16.6767493969983,5.18,71,,,,,9.54162378160981,10.0749803758226,10.1249499114929,11.0250363874948,2.1,clock_face_1.png,2,,0.864663204067716,1,,,,,0.00608555916950737,0.00608555916950737,0,0.117,0.342052627529741,1,-0.5,-2.30233530475597,-1.02119491979388,-1.18048929169567,Reward,0.5,-1.31397582282115,low,-0.236349573389838,0.256013814952914,8.05832666362403,-1.21576882180058,0.401,,,,,-1.11225550593301,,,reward,Reward,Reward,,reward,0.1,FALSE,,,,,,0.4,0.1,-1.24275673967495,0.0712190831461943,,,0.753728015638157,,0.0712190831461943,0,,0.117,FALSE,TRUE,TRUE,73.4633694222455,,,48.4390908845117,11.3397974738367,5.66989873691837,73.4633694222455,high abs. PE,8.52491407527123,FALSE,0-1s,TRUE,9.84162378160981,,9425,,,,,,,,,10.0596237816098
explore,decay_factorize_selective_psequate_fixedparams_fmri,35780,1,3,DEV,clock_face,0.268,69,69,0.82560959585401,56.7625758497894,0.568,71,3,52.3656379031738,0.4,55.7806343563584,421.092532247882,17.5556453131403,0.753728015638157,0.36452047442003,62.9213364044256,46.5316667378448,-15.6062696164198,2.68,69,0.046680892563758,0.0444243310304217,0.0489374540970944,0.0444243310304217,13.125040552055,13.4083352902671,13.4584374621045,14.3584060003632,2.1,clock_face_1.png,3,,0.86817510655291,1,0.3,0.1,1,0.747642456468649,0.0170391674826994,0.0170391674826994,0,0.25,0.5,1,-0.333333333333333,-1.32563165195906,-1.21576882180058,-1.0981500409639,Reward,0.5,-1.24275673967495,low,0.509912594260973,0.658988261748626,9.54162378160981,-0.982280139392541,0.518,0.401,,,,-1.02119491979388,-1.11225550593301,,reward,Reward,Reward,Reward,reward,2.1,FALSE,FALSE,,,,-1.18048929169567,0.3,-0.1,-1.04334796689154,0.199408772783411,0.0712190831461943,,0.770767183120856,0.00608555916950737,0.199408772783411,0,low,-0.25,FALSE,TRUE,TRUE,48.4390908845117,73.4633694222455,,62.9213364044256,25.8220429937507,12.9110214968754,48.4390908845117,high abs. PE,10.1249499114929,FALSE,0-1s,TRUE,13.525040552055,9.84162378160981,9425,,,,,,,,,13.393040552055
explore,decay_factorize_selective_psequate_fixedparams_fmri,35780,1,4,DEV,clock_face,0.568,71,71,0.747338745394284,53.3988191512487,0.451,69,6,52.4532732425672,0.3,72.2258322517425,507.248988736786,22.3538377494659,0.770767183120856,0.314961847855002,36.8731257095722,35.8616273973461,-43.0183411842402,5.68,71,0.10857701802579,0.106821527526212,0.110332508525367,0.106821527526212,16.4584801575984,17.0417446939973,17.0918139692512,17.9917811076739,1.1,clock_face_1.png,4,,0.877933473060947,1,0.4,-0.1,-1,0.753728015638157,0.0210420702878944,0.0210420702878944,0,0.3,0.547722557505166,1,-0.25,-0.837279825560608,-0.982280139392541,-1.18048929169567,Reward,0.5,-1.04334796689154,low,1.20030389678214,0.751134438210295,13.125040552055,-1.07334072553167,0.268,0.518,0.401,,,-1.21576882180058,-1.02119491979388,-1.11225550593301,reward,Reward,Reward,Reward,reward,2.1,FALSE,FALSE,FALSE,,,-1.0981500409639,0.4,0.1,-0.797093364535433,0.24625460235611,0.199408772783411,0.0712190831461943,0.791809253408751,0.0170391674826994,0.24625460235611,0,low,0.3,FALSE,TRUE,TRUE,62.9213364044256,48.4390908845117,73.4633694222455,36.8731257095722,-0.226167701102696,-0.113083850551348,62.9213364044256,low abs. PE,13.4584374621045,TRUE,0-1s,TRUE,16.7584801575984,13.525040552055,9425,,,,,,,,,17.0264801575984
explore,decay_factorize_selective_psequate_fixedparams_fmri,35780,1,5,DEV,clock_face,0.451,70,70,0.777166151076036,54.7776733656303,0.485,71,5,70.9110365794362,0.4,72.0922325545457,572.500263367487,23.4633811480349,0.791809253408751,0.351772055465896,25.497023967271,24.7526717450981,-34.2890796660392,4.51,70,0.0402107839202186,0.0380760310177463,0.0423455368226909,0.0380760310177463,19.0918559648562,19.5584906215081,19.6085021528415,20.5085039376281,8.1,clock_face_1.png,5,,0.889836644226765,1,0.3,0.1,1,0.770767183120856,-0.00860699400895526,0,0.00860699400895526,0.117,0.342052627529741,1,-0.2,-0.544268729721535,-1.07334072553167,-1.0981500409639,Reward,0.5,-0.797093364535433,low,1.19469520362132,0.230654079218473,16.4584801575984,-1.04687867485876,0.568,0.268,0.518,0.401,,-0.982280139392541,-1.21576882180058,-1.02119491979388,reward,Reward,Reward,Reward,reward,1.1,FALSE,FALSE,FALSE,FALSE,,-1.18048929169567,0.4,0,-0.897820710189062,-0.100727345653629,0.24625460235611,0.199408772783411,0.783202259399795,0.0210420702878944,0,0.100727345653629,low,-0.117,FALSE,TRUE,FALSE,36.8731257095722,62.9213364044256,48.4390908845117,25.497023967271,-11.6022694434039,-5.80113472170195,36.8731257095722,low abs. PE,17.0918139692512,TRUE,0-1s,TRUE,19.4918559648562,16.7584801575984,9425,,0.150973520827569,,,,,-1.89058458171497,,19.5428559648562
explore,decay_factorize_selective_psequate_fixedparams_fmri,35780,1,6,DEV,clock_face,0.485,71,71,0.768402426614535,54.3836667872224,0.568,70,5,75.7428611057258,0.4,77.2218270807429,601.203738290126,24.8370091034664,0.783202259399795,0.351772055465896,22.906825842451,22.906825842451,-35.8286034129459,4.85,71,0.0016044954819584,0.00159581465258254,0.00159581465258254,0.00161317631133426,28.6087149305968,29.1087077563861,29.1587325863075,30.0586769770598,0.1,clock_face_1.png,6,0.783202259399795,0.884987152110015,1,0.4,0,0,0.791809253408751,-0.00614150351423137,0,0.00614150351423137,0.034,0.184390889145858,1,-0.166666666666667,-0.348927999162153,-1.04687867485876,-1.0981500409639,Reward,0.5,-0.897820710189062,low,1.41004241129103,0.0726815514348049,19.0918559648562,-0.982280139392541,0.451,0.568,0.268,0.518,0.401,-1.07334072553167,-0.982280139392541,-1.21576882180058,reward,Reward,Reward,Reward,reward,8.1,FALSE,FALSE,FALSE,FALSE,FALSE,-1.0981500409639,0.4,0,-0.969694508017585,-0.0718737978285233,-0.100727345653629,0.24625460235611,0.777060755885564,-0.00860699400895526,0,0.0718737978285233,low,0.034,FALSE,FALSE,FALSE,25.497023967271,36.8731257095722,62.9213364044256,22.906825842451,-14.1924675682239,-7.09623378411194,25.497023967271,low abs. PE,19.6085021528415,TRUE,0-1s,TRUE,29.0087149305968,19.4918559648562,9425,0.126271518968383,0.164199531056579,0.124217447952105,,0.288416979008684,,-1.80661203823682,-1.24331333075977,29.0937149305968
explore,decay_factorize_selective_psequate_fixedparams_fmri,35780,1,7,DEV,clock_face,0.568,71,71,0.747338745394284,53.3988191512487,0.518,71,6,72.8213925056101,0.4,79.7239006136541,622.114793848127,25.592780293455,0.777060755885564,0.351772055465896,25.2232950414138,23.120535861314,-37.8995207684995,5.68,71,0.00260285347963066,0.00258412928401059,0.00258412928401059,0.00262157767525073,30.158727686794,30.742024419771,30.7920943949721,31.692076931824,0.1,clock_face_1.png,7,0.777060755885564,0.881510496752911,1,0.4,0,0,0.783202259399795,-0.00292008645529607,0,0.00292008645529607,0.083,0.288097205817759,1,-0.142857142857143,-0.209398905905452,-0.982280139392541,-1.0981500409639,Reward,0.5,-0.969694508017585,low,1.51508278942325,0.157972527783668,28.6087149305968,-1.02119491979388,0.485,0.451,0.568,0.268,0.518,-1.04687867485876,-1.07334072553167,-0.982280139392541,reward,Reward,Reward,Reward,reward,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,-1.0981500409639,0.5,0.1,-1.00386817624775,-0.0341736682301688,-0.0718737978285233,-0.100727345653629,0.774140669430268,-0.00614150351423137,0,0.0341736682301688,low,0.083,FALSE,FALSE,FALSE,22.906825842451,25.497023967271,36.8731257095722,25.2232950414138,-11.8759983692611,-5.93799918463057,22.906825842451,low abs. PE,29.1587325863075,TRUE,0-1s,TRUE,30.558727686794,29.0087149305968,9425,0.120743539530377,0.0821311310263656,0.146716783665952,0.116653004652948,0.228847914692317,0.237396544183325,-2.49931640105296,-1.47465392785165,30.726727686794
explore,decay_factorize_selective_psequate_fixedparams_fmri,35780,1,8,DEV,clock_face,0.518,0,71,0.759970964637226,53.9956744543579,0.601,71,5,80.3770539540628,0.5,80.3770539540628,638.085323575548,25.6070711800115,0.774140669430268,0.351772055465896,-49.7489625037646,-49.7489625037646,-33.8099808410345,5.18,0,0.0118412246532066,0.0117119585686004,0.0119704907378128,0.0117119585686004,31.7921962343389,32.3254474895657,32.3754870179691,33.2754597557941,3.1,clock_face_1.png,8,0.774140669430268,0.879852640747454,0,0.4,0.1,1,0.777060755885564,0.016491886411607,0.016491886411607,0,0.0499999999999999,0.223606797749979,1,-0.125,-0.104752085962926,-1.02119491979388,-1.01581079023213,Omission,-0.5,-1.00386817624775,low,1.5425030362515,0.0921461764616682,30.158727686794,-0.956596384327657,0.568,0.485,0.451,0.568,0.268,-0.982280139392541,-1.04687867485876,-1.07334072553167,omission,Reward,Reward,Reward,reward,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,-1.0981500409639,0.5,0,-0.810864214430895,0.193003961816859,-0.0341736682301688,-0.0718737978285233,0.790632555841875,-0.00292008645529607,0.193003961816859,0,low,-0.0499999999999999,FALSE,FALSE,FALSE,25.2232950414138,22.906825842451,25.497023967271,49.7489625037646,12.6496690930897,-6.32483454654483,25.2232950414138,high abs. PE,30.7920943949721,TRUE,0-1s,TRUE,32.2921962343389,30.558727686794,9425,0.0596168827098415,0.013932153257628,0.00768116733550445,0.115729603343289,0.0216133205931325,0.175346486053131,-4.2728384194645,-3.8339828896131,32.3101962343389
explore,decay_factorize_selective_psequate_fixedparams_fmri,35780,1,9,DEV,clock_face,0.601,72,72,0.739097473455271,52.999855568981,0.468,0,6,43.6825450593704,0.5,45.6448771880161,379.505897899454,15.0136421223062,0.790632555841875,0.38264471616785,42.8688671211807,42.8688671211807,-22.7741598348186,6.01,72,0.00350828626636132,0.00350497068363964,0.00350497068363964,0.003511601849083,36.3756280532689,36.9922381599899,37.0422874873038,37.9423270681873,0.1,clock_face_1.png,9,0.790632555841875,0.889175210991554,1,0.5,0,0,0.774140669430268,-0.024289253072561,0,0.024289253072561,0.083,0.288097205817759,1,-0.111111111111111,-0.0233601148965171,-0.956596384327657,-1.01581079023213,Reward,0.5,-0.810864214430895,low,0.0844000137492906,0.148619692275725,31.7921962343389,-1.06010970019522,0.518,0.568,0.485,0.451,0.568,-1.02119491979388,-0.982280139392541,-1.04687867485876,reward,Omission,Omission,Reward,omission,3.1,TRUE,FALSE,FALSE,FALSE,FALSE,-1.01581079023213,0.6,0.1,-1.09512048175985,-0.284256267328958,0.193003961816859,-0.0341736682301688,0.766343302769314,0.016491886411607,0,0.284256267328958,low,0.083,FALSE,FALSE,TRUE,-49.7489625037646,25.2232950414138,22.906825842451,42.8688671211807,5.76957371050578,2.88478685525289,49.7489625037646,high abs. PE,32.3754870179691,FALSE,0-1s,TRUE,36.8756280532689,32.2921962343389,9425,0.0111839986022848,0.00558660388615628,0.00758259782588708,0.00758669298939805,0.0131692017120434,0.0187706915916828,-5.18559531410621,-4.32911531987234,36.9766280532689
explore,decay_factorize_selective_psequate_fixedparams_fmri,35780,1,10,DEV,clock_face,0.468,0,71,0.772774638428614,54.5814449066618,0.385,72,5,60.7610898238858,0.6,60.8021868633079,498.439705762608,19.4595998430568,0.766343302769314,0.395393135121985,-37.3054536570685,-37.3054536570685,-23.687441467453,4.68,0,0.0279537451037156,0.0274930415353312,0.0274930415353312,0.0284144486721,38.0422745386604,38.5255520586506,38.575564289873,39.475556975638,3.1,clock_face_1.png,10,0.766343302769314,0.875410362498248,0,0.5,0.1,1,0.790632555841875,0.0160501506153974,0.0160501506153974,0,0.133,0.364691650576209,1,-0.1,0.0417534619566101,-1.06010970019522,-0.933471539500364,Omission,-0.5,-1.09512048175985,low,0.72072405411725,0.250126638617561,36.3756280532689,-1.12470823566144,0.601,0.518,0.568,0.485,0.451,-0.956596384327657,-1.02119491979388,-0.982280139392541,omission,Reward,Reward,Omission,reward,0.1,FALSE,TRUE,FALSE,FALSE,FALSE,-1.01581079023213,0.6,0,-0.907286138300588,0.187834343459265,-0.284256267328958,0.193003961816859,0.782393453384711,-0.024289253072561,0.187834343459265,0,low,-0.133,FALSE,TRUE,FALSE,42.8688671211807,-49.7489625037646,25.2232950414138,37.3054536570685,0.206160246393608,-0.103080123196804,42.8688671211807,high abs. PE,37.0422874873038,FALSE,0-1s,TRUE,38.6422745386604,36.8756280532689,9425,0.00512732988827117,0.00660116710958753,0.0498130230995361,0.0552597463162163,0.0564141902091236,0.0603870762044874,-5.01899507344487,-2.87485730801425,38.5102745386604
