#Subj:	12345
#Run:	1
#Group:	2
#Task Version:	rev
#Reversal:	0
Contingency Scheme:	DID
#09-Sep-2021
Run	Trial	Func	Emotion	Mag	Prob	Score	EV	RT	Clock_Onset	ISI_Onset	Feedback_Onset	ITI_Onset	ITI_Ideal	Image
1	1	DEV	clock_face	   0	   0	   0	   0	5000	8.031022e+00	1.304720e+01	1.314718e+01	1.399711e+01	1.000000e-01	clock_face_1.png
1	2	DEV	clock_face	   0	   0	   0	   0	5016	1.414710e+01	1.917993e+01	1.926324e+01	2.012984e+01	2.100000e+00	clock_face_1.png
1	3	DEV	clock_face	   0	   0	   0	   0	5000	2.226260e+01	2.727913e+01	2.736245e+01	2.822903e+01	2.100000e+00	clock_face_1.png
1	4	DEV	clock_face	   0	   0	   0	   0	4999	3.039550e+01	3.541164e+01	3.549498e+01	3.636157e+01	1.100000e+00	clock_face_1.png
1	5	DEV	clock_face	   0	   0	   0	   0	4999	3.749479e+01	4.251095e+01	4.259427e+01	4.346086e+01	8.100000e+00	clock_face_1.png
1	6	DEV	clock_face	  70	7.797583e-01	  70	5.489234e+01	 441	5.159340e+01	5.204335e+01	5.215959e+01	5.300991e+01	1.000000e-01	clock_face_1.png
1	7	DEV	clock_face	  73	6.892161e-01	  73	5.044055e+01	 808	5.312657e+01	5.394315e+01	5.402636e+01	5.490965e+01	1.000000e-01	clock_face_1.png
1	8	DEV	clock_face	  73	6.892161e-01	   0	5.044055e+01	 808	5.502638e+01	5.584297e+01	5.592629e+01	5.680948e+01	3.100000e+00	clock_face_1.png
1	9	DEV	clock_face	  74	6.586668e-01	  74	4.876552e+01	 942	5.992589e+01	6.087579e+01	6.095893e+01	6.184235e+01	1.000000e-01	clock_face_1.png
1	10	DEV	clock_face	  76	5.988658e-01	   0	4.529031e+01	1225	6.195903e+01	6.319223e+01	6.327557e+01	6.415884e+01	3.100000e+00	clock_face_1.png
1	11	DEV	clock_face	  74	6.712627e-01	   0	4.946515e+01	 886	6.727494e+01	6.817508e+01	6.824170e+01	6.912499e+01	8.100000e+00	clock_face_1.png
1	12	DEV	clock_face	  70	7.878357e-01	   0	5.524395e+01	 410	7.725753e+01	7.767414e+01	7.774080e+01	7.864068e+01	1.000000e-01	clock_face_1.png
1	13	DEV	clock_face	   0	   0	   0	   0	5016	7.875737e+01	8.379020e+01	8.387343e+01	8.474011e+01	1.000000e-01	clock_face_1.png
