#Subj:	333
#Run:	1
#Group:	1
#Task Version:	rev
#Reversal:	0
Contingency Scheme:	IDI
#23-Sep-2022
Run	Trial	Func	Emotion	Mag	Prob	Score	EV	RT	Clock_Onset	ISI_Onset	Feedback_Onset	ITI_Onset	ITI_Ideal	Image
1	1	IEV	clock_face	  26	8.519042e-01	  26	2.241218e+01	1216	8.126156e+00	9.357805e+00	9.519288e+00	1.029707e+01	1.000000e-01	clock_face_1.png
1	2	IEV	clock_face	  25	8.583788e-01	  25	2.160572e+01	1137	1.042450e+01	1.157463e+01	1.162829e+01	1.251360e+01	3.000000e-01	clock_face_1.png
1	3	IEV	clock_face	  22	8.754771e-01	  22	1.927006e+01	 888	1.282270e+01	1.372525e+01	1.376738e+01	1.466291e+01	3.000000e-01	clock_face_1.png
1	4	IEV	clock_face	  19	8.889264e-01	  19	1.710505e+01	 608	1.496901e+01	1.559310e+01	1.563333e+01	1.652902e+01	2.000000e-01	clock_face_1.png
1	5	IEV	clock_face	  19	8.883923e-01	  19	1.719954e+01	 622	1.673703e+01	1.737735e+01	1.743469e+01	1.831096e+01	9.000000e-01	clock_face_1.png
1	6	IEV	clock_face	  20	8.833691e-01	  20	1.804871e+01	 739	1.922263e+01	1.997711e+01	2.001733e+01	2.091362e+01	1.000000e-01	clock_face_1.png
1	7	IEV	clock_face	  19	8.882371e-01	   0	1.722682e+01	 626	2.101888e+01	2.166095e+01	2.170062e+01	2.259696e+01	1.000000e-01	clock_face_1.png
1	8	IEV	clock_face	  19	8.906518e-01	  19	1.679345e+01	 560	2.270237e+01	2.327799e+01	2.331741e+01	2.421432e+01	4.000000e-01	clock_face_1.png
1	9	IEV	clock_face	 142	3.750041e-01	   0	5.307426e+01	4009	2.462068e+01	2.864741e+01	2.868582e+01	2.958170e+01	1.000000e-01	clock_face_1.png
1	10	IEV	clock_face	  22	8.742263e-01	   0	1.945362e+01	 909	2.968739e+01	3.061367e+01	3.065188e+01	3.154845e+01	4.000000e-01	clock_face_1.png
1	11	IEV	clock_face	  18	8.949972e-01	  18	1.595820e+01	 411	3.195354e+01	3.238055e+01	3.241927e+01	3.331646e+01	9.000000e-01	clock_face_1.png
1	12	IEV	clock_face	  17	8.964764e-01	  17	1.565514e+01	 344	3.422048e+01	3.458174e+01	3.461976e+01	3.551629e+01	1.000000e-01	clock_face_1.png
1	13	IEV	clock_face	  19	8.888132e-01	  19	1.712517e+01	 611	3.562177e+01	3.624741e+01	3.628858e+01	3.718477e+01	1.000000e-01	clock_face_1.png
1	14	IEV	clock_face	  17	8.970116e-01	  17	1.554331e+01	 316	3.730064e+01	3.762880e+01	3.767164e+01	3.856861e+01	5.000000e-01	clock_face_1.png
1	15	IEV	clock_face	  18	8.950214e-01	  18	1.595333e+01	 410	3.907358e+01	3.949907e+01	3.953921e+01	4.043552e+01	1.000000e-01	clock_face_1.png
1	16	IEV	clock_face	  18	8.941100e-01	  18	1.613527e+01	 446	4.053953e+01	4.099905e+01	4.104883e+01	4.193737e+01	1.000000e-01	clock_face_1.png
1	17	IEV	clock_face	  19	8.906518e-01	  19	1.679345e+01	 560	4.204141e+01	4.261550e+01	4.265664e+01	4.355330e+01	1.000000e-01	clock_face_1.png
1	18	IEV	clock_face	  18	8.932282e-01	  18	1.630778e+01	 478	4.365865e+01	4.415022e+01	4.420022e+01	4.508867e+01	1.000000e-01	clock_face_1.png
